;;;;;;
;;;;;;
;;;;;;
;;;;;;
EAN;Titolo;Autore;Editore;Genere (livello 1);Data di Uscita;NazionalitÖ dell'autore
9788842935315;Dove vola la polvere;Nguyen Phan Que Mai;NORD;FICTION;05/09/2023;STRANIERO
9788820077310;7 vite insieme a te. Belen, la gatta che mi ha cambiato la vita;Gervasi Luca;SPERLING & KUPFER;NON FICTION GENERALI;19/09/2023;
9788822775146;Prima regola: non innamorarsi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;28/03/2023;ITALIANO
9788822775825;Gli insuperabili Gold 1+1 (giugno 2023);AA.VV.;NEWTON COMPTON EDITORI;UNKNOWN;06/06/2023;
9788829715480;La luce che manca;Haratischwili Nino;MARSILIO;FICTION;12/09/2023;STRANIERO
9788804769835;Twisted games. Ediz italiana;Huang Ana;MONDADORI;FICTION;29/08/2023;STRANIERO
9788838945496;ELP;Manzini Antonio;SELLERIO EDITORE PALERMO;FICTION;06/06/2023;ITALIANO
9788806253660;La Resistenza delle donne;Tobagi Benedetta;EINAUDI;NON FICTION GENERALI;25/10/2022;
9788842931539;I Leoni di Sicilia. La saga dei Florio;Auci Stefania;NORD;FICTION;06/05/2019;ITALIANO
9788831003384;Harry Potter e la pietra filosofale. Vol. 1;Rowling J. K.;SALANI;BAMBINI/RAGAZZI;23/01/2020;
9788817178303;Sto ancora aspettando che qualcuno mi chieda scusa;Marzano Michela;RIZZOLI;FICTION;12/09/2023;ITALIANO
9788820077211;Deviant. Specchi di Venere. Vol. 2;Ellie B. Luin;SPERLING & KUPFER;FICTION;26/09/2023;ITALIANO
9788891589064;Scomparsi nelle backrooms;Gabby16bit;FABBRI;BAMBINI/RAGAZZI;03/10/2023;
9788833570990;Cambiare l'acqua ai fiori;Perrin ValÇrie;E/O;FICTION;10/07/2019;STRANIERO
9788822762412;Il mio regalo inaspettato;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;07/04/2022;ITALIANO
9788867903948;Ridi che ä meglio;Pera Toons;TUNUê;BAMBINI/RAGAZZI;29/10/2020;
9791221208863;Giocando s'imparla. La guida pratica per stimolare il linguaggio del tuo bambino;Dell'Ariccia Dana;DE AGOSTINI;NON FICTION VARIE;03/10/2023;
