ISBN;Title;Author;Publisher;Genere ;Published_year;Language;Quanity
9788804778400;Assassinio a Venezia;Christie Agatha;MONDADORI;FICTION;9/12/23;ITALIAN;1
9788804745693;Le coordinate della felicità. Di sogni, viaggi e pura vita;Gotto Gianluca;MONDADORI;ROMANCE;4/19/22;ITALIAN;1
9788858046586;Dottore delle emozioni. Mostro dei colori;Llenas Anna;GRIBAUDO;CHILDRENS_LITERATURE;9/26/23;ITALIAN;1
9788807493645;L'etica del viandante;Galimberti Umberto;FELTRINELLI;ROMANCE;9/5/23;ITALIAN;1
9788855442152;Il maggiordomo;Steel Danielle;SPERLING & KUPFER;FICTION;9/19/23;ITALIAN;1
9788811010685;Volevamo prendere il cielo;Bosco Federica;GARZANTI;FICTION;9/19/23;ENGLISH;1
9791259571342;Better. Collisione;Leighton Carrie;MAGAZZINI SALANI;FICTION;5/19/22;ENGLISH;1
9788867905218;Divertimenti;Pera Toons;TUNUÉ;CHILDRENS_LITERATURE;5/9/23;ITALIAN;1
9788822775139;Innamorati pazzi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;3/28/23;ENGLISH;1
9788822742711;Una Cenerentola a Manhattan;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;5/28/20;ENGLISH;1
9791259570277;Fabbricante di lacrime;Doom Erin;MAGAZZINI SALANI;FICTION;5/27/21;ENGLISH;1
9788822742704;Stronze si nasce;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;5/28/20;ENGLISH;1
9791259571618;Better. Dannazione;Leighton Carrie;MAGAZZINI SALANI;FICTION;2/21/23;ENGLISH;1
9788806249182;Stai zitta e altre nove frasi che non vogliamo sentire più;Murgia Michela;EINAUDI;ROMANCE;3/2/21;ITALIAN;1
9788842935315;Dove vola la polvere;Nguyen Phan Que Mai;NORD;FICTION;9/5/23;ITALIAN;1
9788820077310;7 vite insieme a te. Belen, la gatta che mi ha cambiato la vita;Gervasi Luca;SPERLING & KUPFER;ROMANCE;9/19/23;ITALIAN;1
9788822775146;Prima regola: non innamorarsi;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;3/28/23;ENGLISH;1
9788822775825;Gli insuperabili Gold 1+1 (giugno 2023);AA.VV.;NEWTON COMPTON EDITORI;UNKNOWN;6/6/23;ITALIAN;1
9788829715480;La luce che manca;Haratischwili Nino;MARSILIO;FICTION;9/12/23;ITALIAN;1
9788804769835;Twisted games. Ediz ENGLISHa;Huang Ana;MONDADORI;FICTION;8/29/23;ITALIAN;1
9788838945496;ELP;Manzini Antonio;SELLERIO EDITORE PALERMO;FICTION;6/6/23;ENGLISH;1
9788806253660;La Resistenza delle donne;Tobagi Benedetta;EINAUDI;ROMANCE;10/25/22;ITALIAN;1
9788842931539;I Leoni di Sicilia. La saga dei Florio;Auci Stefania;NORD;FICTION;5/6/19;ENGLISH;1
9788831003384;Harry Potter e la pietra filosofale. Vol. 1;Rowling J. K.;SALANI;CHILDRENS_LITERATURE;1/23/20;ITALIAN;1
9788817178303;Sto ancora aspettando che qualcuno mi chieda scusa;Marzano Michela;RIZZOLI;FICTION;9/12/23;ENGLISH;1
9788820077211;Deviant. Specchi di Venere. Vol. 2;Ellie B. Luin;SPERLING & KUPFER;FICTION;9/26/23;ENGLISH;1
9788891589064;Scomparsi nelle backrooms;Gabby16bit;FABBRI;CHILDRENS_LITERATURE;10/3/23;ITALIAN;1
9788833570990;Cambiare l'acqua ai fiori;Perrin Valérie;E/O;FICTION;7/10/19;ITALIAN;1
9788822762412;Il mio regalo inaspettato;Kingsley Felicia;NEWTON COMPTON EDITORI;FICTION;4/7/22;ENGLISH;1
9788867903948;Ridi che è meglio;Pera Toons;TUNUÉ;CHILDRENS_LITERATURE;10/29/20;ITALIAN;1
9791221208863;Giocando s'imparla. La guida pratica per stimolare il linguaggio del tuo bambino;Dell'Ariccia Dana;DE AGOSTINI;Null;10/3/23;ITALIAN;1
9788831780988;La canzone di Achille;Miller Madeline;MARSILIO;FICTION;1/10/19;ITALIAN;1
9788845926983;Follia;McGrath Patrick;ADELPHI;FICTION;3/21/12;ITALIAN;1
9788809932982;Tascabili narrativa Giunti 1+1 (2023);AA.VV.;GIUNTI EDITORE;UNKNOWN;7/5/23;ITALIAN;1
